"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-01","2012","01","01","","5.8","","0.9","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","32","E","48","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-02","2012","01","02","","10.3","","4.1","","7.2","","10.8","","0.0","","4.2","","0.0","","4.2","","0","","23","E","50","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-03","2012","01","03","","4.5","","-8.6","","-2.1","","20.1","","0.0","","0.0","","0.4","","0.4","","0","T","36","E","46","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-04","2012","01","04","","-2.0","","-10.1","","-6.1","","24.1","","0.0","","0.0","","2.8","","1.0","","1","","36","E","44","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-05","2012","01","05","","2.3","","-2.6","","-0.2","","18.2","","0.0","","0.0","","0.8","","0.8","","3","","27","E","41","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-06","2012","01","06","","1.1","","-5.4","","-2.2","","20.2","","0.0","","0.0","T","0.4","","0.4","","1","","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-01-07","2012","01","07","","9.6","","0.9","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-01-08","2012","01","08","","6.3","","-1.1","","2.6","","15.4","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-01-09","2012","01","09","","1.8","","-6.6","","-2.4","","20.4","","0.0","","0.0","","0.2","","0.2","","0","T","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-01-10","2012","01","10","","6.2","","0.9","","3.6","","14.4","","0.0","","2.0","","0.0","T","2.0","","0","T","23","E","35","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-11","2012","01","11","","1.3","","-8.7","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","0","","32","E","52","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-12","2012","01","12","","6.3","","-6.8","","-0.3","","18.3","","0.0","","8.8","","10.4","","18.8","","0","","9","E","65","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-13","2012","01","13","","9.9","","1.1","","5.5","","12.5","","0.0","","2.0","","0.0","T","2.0","","4","","23","E","87","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-14","2012","01","14","","3.7","","-6.5","","-1.4","","19.4","","0.0","","0.0","","0.8","","0.8","","0","T","23","E","80","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-15","2012","01","15","","-6.5","","-11.8","","-9.2","","27.2","","0.0","","0.0","","3.4","","2.6","","2","","36","E","46","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-16","2012","01","16","","2.0","","-10.0","","-4.0","","22.0","","0.0","","0.0","","1.2","","0.8","","5","","23","E","50","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-17","2012","01","17","","6.2","","1.9","","4.1","","13.9","","0.0","","7.6","","0.0","","7.6","","0","T","23","E","52","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-18","2012","01","18","","8.4","","-6.7","","0.9","","17.1","","0.0","","0.4","","0.0","","0.4","","0","","32","E","61","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-19","2012","01","19","","-3.6","","-9.8","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","0","","36","E","52","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-20","2012","01","20","","2.6","","-6.8","","-2.1","","20.1","","0.0","","0.6","","6.4","","7.0","","0","T","27","E","46","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-21","2012","01","21","","-4.1","","-9.8","","-7.0","","25.0","","0.0","","0.0","","3.0","","3.4","","2","","5","E","37","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-22","2012","01","22","","-5.3","","-12.5","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-01-23","2012","01","23","","6.4","","-12.4","","-3.0","","21.0","","0.0","","0.4","","0.0","","0.4","","3","","9","E","41","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-01-24","2012","01","24","","9.9","","4.6","","7.3","","10.7","","0.0","","5.8","","0.0","","5.8","","0","","9","E","41","E"
