Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,province
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,1,-5.2,5.0,,8.6,5.0,-25.1,2.0,,,,,,,,,,,,603.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,2,-8.4,4.0,,7.9,3.0,-25.9,1.0,,,,,,,,,,,,632.7,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,3,-2.6,6.0,,10.6,4.0,-18.7,2.0,,,,,,,,,,,,515.4,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,4,3.2,6.0,,13.2,6.0,-13.9,1.0,,,,,,,,,,,,354.3,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,5,9.0,2.0,,20.3,1.0,0.0,1.0,,,,,,,,,,,,260.7,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,6,14.6,3.0,,23.0,2.0,5.2,1.0,,,,61.0,15.0,,,6.0,,,,92.7,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,7,18.6,2.0,,27.0,2.0,10.5,1.0,,,,108.4,2.0,,,5.0,,,,12.2,30.9,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,8,16.6,2.0,,27.1,2.0,5.2,0.0,,,,0.0,3.0,,,0.0,,,,55.7,14.4,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,9,12.0,2.0,,24.4,0.0,-0.2,2.0,,,,7.4,2.0,,,3.0,,,,166.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,10,10.7,1.0,,20.6,1.0,-4.0,0.0,,,,82.4,2.0,,,10.0,,,,218.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,11,2.2,0.0,,17.7,0.0,-10.8,0.0,,,,111.2,0.0,,,13.0,,,,472.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1995,12,-5.0,1.0,,8.2,0.0,-14.8,1.0,,,,29.0,1.0,,,8.0,,,,689.4,0.0,NS
